"Gene","uniprot_id","N_seq","Old_OP_S06_Pre","Old_OP_S11_Pre","Old_OP_S12_Pre","Old_OP_S17_Pre","Old_O_S05_Pre","Old_O_S06_Pre","Old_O_S07_Pre","Old_O_S10_Pre","Old_O_S16_Pre","Old_O_S17_Pre","Old_O_S24_Post","Old_O_S24_Pre","Old_O_S28_Pre","Old_O_S29_Pre","Old_O_S32_Pre","Old_O_S35_Pre","Old_OP_S06_Post","Old_OP_S11_Post","Old_OP_S12_Post","Old_OP_S17_Post","Old_O_S05_Post","Old_O_S06_Post","Old_O_S07_Post","Old_O_S10_Post","Old_O_S16_Post","Old_O_S17_Post","Old_O_S28_Post","Old_O_S29_Post","Old_O_S32_Post","Old_O_S35_Post","Young_YP_S14_Pre","Young_YP_S45_Pre","Young_YP_S56_Pre","Young_Y_S01_Pre","Young_Y_S05_Pre","Young_Y_S07_Pre","Young_Y_S10_Pre","Young_Y_S11_Pre","Young_Y_S16_Pre","Young_Y_S28_Pre","Young_Y_S30_Pre","Young_Y_S31_Pre","Young_Y_S32_Pre","Young_Y_S34_Pre","Young_Y_S35_Pre","Young_Y_S36_Pre","Young_Y_S40_Pre","Young_YP_S14_Post","Young_YP_S45_Post","Young_YP_S56_Post","Young_Y_S01_Post","Young_Y_S05_Post","Young_Y_S07_Post","Young_Y_S10_Post","Young_Y_S11_Post","Young_Y_S16_Post","Young_Y_S28_Post","Young_Y_S30_Post","Young_Y_S31_Post","Young_Y_S32_Post","Young_Y_S34_Post","Young_Y_S35_Post","Young_Y_S36_Post","Young_Y_S40_Post","Contaminant"
"A1BG","P04217","9",2904260,1931670,1330010,1944800,1816580,2219920,1318470,2431570,1980690,2611670,1462090,2578460,2206840,2089890,2187970,1602370,2232220,1645490,1537610,2946790,1232440,2339940,1604860,2359390,1897660,2209000,2149620,5069280,1560140,2280500,2212160,1482760,1902480,3954470,NA,2066230,2880400,2244070,1186220,1641250,465338,2104930,1644150,1057340,783468,1632720,NA,2071440,1410820,2409760,1698250,2435430,3252530,2965190,1818490,1561710,1908740,1383280,1437850,1524240,NA,914368,2793390,511300,"-"
"A2M","P01023","55",8083370,9981900,3421470,9226760,11608700,11413400,8172400,7981750,8855800,19979200,6003100,7946760,5941940,8576750,10383800,5692220,9120530,10653400,4310450,17602600,6521010,9053900,6763520,8248570,7743860,16929800,10204900,19559200,4545740,9935700,24680100,5141080,11014900,16588700,5290520,10117900,8424240,20942000,6357500,7594940,3722150,9474680,11493000,12051500,4952730,14370400,3210440,18587000,5037990,15500800,11576300,18311400,29277000,15471400,19140000,12462500,7280800,11293700,10389100,11446700,15828800,5494800,32418600,2956070,"-"
"A2ML1","A8K2U0","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1266020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,502625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-"
"AAMDC","Q9H7C9","6",51233600,51365600,28521500,34559700,59793000,33186000,55141100,69334600,63804500,62230300,56082600,63966700,37970900,61038400,43204100,62755300,37922700,45634500,30405500,31548500,41125400,14291200,44827000,46320800,59640900,56087800,31063100,68093500,57281500,30502100,71524300,33275000,21953000,46947300,29080900,42223500,44158400,61205500,48841000,38076500,29821500,52166600,42891100,37675600,42331200,42342600,51689000,39168100,23241200,17078200,41039500,30752200,31179300,24640600,46514100,38948500,54415300,25053100,34440700,28332800,34202200,21434800,36711100,26697600,"-"
"AAMP","Q13685","3",124780,116931,127426,NA,103628,NA,145965,68259.7,100427,177790,172316,72526.4,122065,135444,147296,61514,92352.5,82825.4,119681,168601,142533,115829,NA,141280,203154,125524,88763.2,198338,NA,217551,NA,NA,120458,NA,NA,NA,NA,NA,166904,51228.7,130414,NA,155234,NA,121521,117910,100454,NA,159087,152066,NA,NA,NA,NA,NA,NA,NA,89336.3,NA,NA,NA,175910,NA,117856,"-"
"AARS1","P49588","15",857210,749189,677369,955310,913174,831717,498054,835346,731751,765048,745648,712264,721403,930951,661754,929999,805337,873905,824422,952536,792899,1082630,623193,914074,702364,782115,720373,639885,694644,704848,671816,636379,783854,973332,NA,417206,577122,527631,771128,649112,923032,896046,631770,386184,972930,491327,583364,607119,636795,803450,703460,NA,668149,986584,670961,762160,657340,872704,647499,731126,898143,793501,899898,681461,"-"
"AARSD1","Q9BTE6","5",182193,112200,138083,180399,95706.8,158234,NA,154814,133630,140236,115828,143498,177943,119247,152433,173346,237112,208970,149869,119372,115074,128631,126795,160529,81973.9,152667,184969,190289,133074,128945,113080,147706,85238.9,108672,347034,216740,374935,390670,141062,150252,103373,121920,102156,NA,118592,138190,229829,NA,NA,125197,145208,329507,250357,447800,272865,153589,106199,101765,135390,91144.2,106587,135751,160646,156739,"-"
"AASDHPPT","Q9NRN7","2",NA,109791,107029,NA,97362.6,NA,139132,215222,112815,103060,NA,158579,125161,92893.9,150511,NA,93477.3,109530,NA,NA,150998,NA,136969,NA,129213,132588,91020.9,82357.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,110261,NA,NA,NA,NA,NA,NA,121713,108585,88549,NA,111526,132630,NA,93041.5,NA,83929.6,NA,NA,NA,117729,NA,NA,NA,NA,NA,76401.8,"-"
"AASS","Q9UDR5","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-"
"ABCB6","Q9NP58","1",NA,971853000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1280290000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2166480000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1946960000,NA,NA,NA,NA,1582640000,NA,NA,NA,NA,NA,2081980000,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-"
