"Gene","uniprot_id","N_seq","Old_OP_S06_Pre","Old_OP_S11_Pre","Old_OP_S12_Pre","Old_OP_S17_Pre","Old_O_S05_Pre","Old_O_S06_Pre","Old_O_S07_Pre","Old_O_S10_Pre","Old_O_S16_Pre","Old_O_S17_Pre","Old_O_S24_Post","Old_O_S24_Pre","Old_O_S28_Pre","Old_O_S29_Pre","Old_O_S32_Pre","Old_O_S35_Pre","Old_OP_S06_Post","Old_OP_S11_Post","Old_OP_S12_Post","Old_OP_S17_Post","Old_O_S05_Post","Old_O_S06_Post","Old_O_S07_Post","Old_O_S10_Post","Old_O_S16_Post","Old_O_S17_Post","Old_O_S28_Post","Old_O_S29_Post","Old_O_S32_Post","Old_O_S35_Post","Young_YP_S14_Pre","Young_YP_S45_Pre","Young_YP_S56_Pre","Young_Y_S01_Pre","Young_Y_S05_Pre","Young_Y_S07_Pre","Young_Y_S10_Pre","Young_Y_S11_Pre","Young_Y_S16_Pre","Young_Y_S28_Pre","Young_Y_S30_Pre","Young_Y_S31_Pre","Young_Y_S32_Pre","Young_Y_S34_Pre","Young_Y_S35_Pre","Young_Y_S36_Pre","Young_Y_S40_Pre","Young_YP_S14_Post","Young_YP_S45_Post","Young_YP_S56_Post","Young_Y_S01_Post","Young_Y_S05_Post","Young_Y_S07_Post","Young_Y_S10_Post","Young_Y_S11_Post","Young_Y_S16_Post","Young_Y_S28_Post","Young_Y_S30_Post","Young_Y_S31_Post","Young_Y_S32_Post","Young_Y_S34_Post","Young_Y_S35_Post","Young_Y_S36_Post","Young_Y_S40_Post","Contaminant"
"ABCB7","O75027","1",NA,53247.4,87453.5,96500,NA,NA,NA,NA,NA,NA,79781.4,NA,NA,NA,NA,84278.5,NA,NA,111484,NA,NA,103219,NA,NA,NA,NA,NA,NA,60720.4,NA,88304.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116123,NA,NA,128871,108152,82350.2,93791.8,NA,NA,NA,NA,NA,NA,NA,93864.2,112716,93365,NA,73636.1,NA,90667.3,"-"
"ABCE1","P61221","8",474985,644273,486922,766470,427663,707116,629913,455224,572699,577116,604019,367850,373675,507635,665048,605801,592648,834473,650424,794792,623837,802848,577481,679168,677414,643569,570734,366368,502964,739864,393066,451803,732336,312741,NA,360372,256019,315694,763174,729694,890042,493998,755610,248857,706381,568568,750748,718900,620094,769129,724505,616430,360970,273911,524142,825113,550599,963448,949998,840942,856724,851813,815796,1071420,"-"
"ABCF1","Q8NE71","16",390170,789534,305718,439587,1143540,686368,311149,609160,725795,584497,578356,351280,700396,611020,727420,503147,469862,778897,342557,375682,664265,924534,496963,535085,700109,589357,474983,707821,563264,783487,NA,323598,626430,366379,NA,593166,446040,543966,468951,510444,667003,549716,323712,315783,687764,647558,571694,508794,328915,712720,518187,390060,757003,652509,461150,379921,375691,630885,671563,380585,503764,602893,466992,682115,"-"
"ABCF2","Q9UG63","2",483531,233608,NA,NA,172484,NA,NA,NA,NA,NA,165510,NA,395215,229170,245871,178447,161613,396859,NA,NA,215530,276182,NA,NA,183288,NA,NA,189591,551976,364413,NA,NA,NA,480495,NA,NA,NA,NA,NA,NA,465653,273308,NA,NA,544875,NA,NA,NA,388156,NA,272356,NA,NA,NA,NA,178481,160988,NA,259761,NA,NA,NA,NA,174153,"-"
"ABHD10","Q9NUJ1","8",442065,428471,385639,460714,379227,477023,211932,NA,282738,336489,368373,351478,406154,471503,447513,620285,407516,570046,485027,338351,411662,236361,NA,324504,452624,350631,393864,360806,NA,250720,301511,NA,383639,252210,NA,271705,NA,NA,329064,415716,NA,316555,302787,NA,NA,239236,499114,296947,283445,231183,420323,NA,NA,NA,403655,168307,NA,288985,271082,NA,419592,298210,290122,309361,"-"
"ABHD11","Q8NFV4","5",160654,288846,232986,591726,NA,555898,115969,NA,195675,207320,392606,347603,359725,441460,521531,586786,202920,601679,346345,633066,327178,450307,236399,362027,306142,419804,535083,125645,258628,358402,137894,134218,372020,186721,NA,NA,119071,108652,159423,348957,110084,396313,156976,NA,279396,NA,219840,327448,232334,218120,248668,141135,178308,136173,231156,156590,175418,260111,201365,247958,116713,340471,167180,226655,"-"
"ABHD14B","Q96IU4","8",7281690,7877730,5519400,8697580,7961830,7880720,7030930,6937940,5269530,6865520,5773870,8985580,7913610,6312140,5938250,6867640,5939340,9133640,6282090,8810420,7859920,5734070,7622900,4903880,5807810,6858480,6131970,6198980,7844410,6791610,9377480,8175240,6272630,6897500,4911420,7377000,4381270,6636560,5707230,8273640,5951920,11368800,6290250,6632440,10501400,5768620,5037290,8651970,7178640,5839950,6597010,6221600,7423070,4364600,7505010,5297990,9266400,5397200,6452420,6122820,8109180,6253560,6610150,3458690,"-"
"ABHD16A","O95870","3",NA,NA,NA,67634.9,17870.6,46706.2,55502,40158.5,41187.4,32230.1,34612.9,48467.3,23505.7,54379.3,32293.7,40533.4,NA,47734.9,NA,46857.4,45258.7,42457.3,14617.1,NA,NA,31755.7,15139,22887,33599,26452.8,10695.8,NA,29064.1,NA,NA,NA,NA,NA,NA,NA,25959.7,NA,NA,NA,39944.8,NA,NA,30588.9,NA,40341.6,NA,NA,NA,NA,NA,NA,NA,19558.1,NA,23858.5,NA,24173.4,NA,26826.3,"-"
"ABHD6","Q9BV23","1",NA,383172,846810,1573410,1252660,1233820,1075800,1113790,824561,683691,909988,NA,422002,562536,698328,1333190,670122,410821,671563,NA,1181050,1247390,1215740,1506250,924493,1000200,591905,462554,917806,655455,1010070,996285,1151930,1343370,2784690,NA,2099830,NA,1111730,1526490,1050310,989205,1626090,2164550,1546410,1166010,1082660,1016900,1246560,1290380,1675280,2569760,NA,2244340,1262420,1471370,912767,1287890,1372830,1218370,1714640,1084030,1771810,1516060,"-"
"ABI3BP","Q7Z7G0","1",NA,NA,NA,NA,NA,NA,19902.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,13393,NA,NA,NA,NA,35002.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8349.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35639.6,"-"
"ABLIM2","Q6H8Q1","2",20340.3,17376.5,31605.8,33229.7,22461.6,14657.5,NA,NA,NA,25036.5,14908.5,8704.33,29910.1,20399.7,22421,NA,12154.7,32546.2,NA,13706.4,16581.6,32955.5,15082.1,NA,NA,16513.3,39287.4,21724.4,25501,23699.8,NA,48028.7,19643.2,20461.3,39324,NA,NA,NA,NA,45646.2,26311.2,17317.2,NA,NA,35566.2,26385.7,53178.5,NA,NA,NA,23842.8,86465.8,NA,NA,NA,22453.6,NA,10654.7,14110,NA,21522.8,NA,29598.9,43351.4,"-"
"ABRAXAS2","Q15018","5",97099.4,115043,131466,130162,104340,119465,137599,161755,172922,154190,118274,134681,156670,141355,151504,144088,117414,130591,124237,130927,150102,158216,134904,133939,163504,146812,141036,145818,148404,139463,88892.3,NA,132706,88035.4,NA,NA,99491.8,NA,125475,125040,143584,137584,109384,NA,124560,94244.4,95827,132304,91172,143495,130053,NA,136360,119201,NA,122776,71245.9,113753,127954,136967,NA,93938.9,154356,131992,"-"
"ACAA1","P09110","7",1415670,1155420,1073110,2010170,893668,1240900,548005,1249990,1728590,1269160,1158570,1241830,796014,1561010,1001540,1721790,1096390,1558670,1266120,1443180,1030300,1367650,973103,1325860,1799130,1422670,880495,521655,1060860,1055540,771394,848903,833408,1138100,1429790,974859,1063810,1225960,1061100,1208960,1206440,857300,1011830,1216410,1113110,550448,821122,1019310,1038340,838762,1134230,1222440,1530430,1572180,966301,1049590,818202,936208,1146810,941863,1165730,1286220,796695,1295780,"-"
"ACAA2","P42765","19",24218600,23414700,26264300,45086800,29079000,46262800,15157600,20829600,30808900,22918800,23524300,20389500,18138400,34517400,22848500,44777400,17394700,35094500,27680500,39046100,23357500,26899100,20595700,23940400,37184900,22951400,20466500,17387700,19288800,17090600,31209500,15435300,24840800,16198300,28434000,26189100,17813400,31436500,19546900,23456900,15543600,26947400,20069000,20028700,19350800,19941800,23736600,29387700,21213800,14133900,22286900,29683900,22341700,16462100,19459200,24529300,22224700,17191900,19693500,18576300,19916200,13410500,26936500,17115900,"-"
"ACACA","Q13085","2",18207100,19375200,17054900,25266300,23209700,21167700,16764700,22304700,16700300,16646700,12988200,15196100,12323700,13281700,13254500,22339600,10898100,18703100,16780900,28363600,18082700,21755500,21432300,24850100,19640800,18869100,16450600,10317600,15028000,19442100,13400200,19496000,24914100,23445800,71970800,26914500,26786100,25324200,21179600,24103900,18208600,9610220,18589200,26535800,20212500,13836200,14123500,14277200,16987400,20237400,21888800,35481400,69333300,51180500,10779800,27680900,16686100,31071300,30472000,30968600,27819500,23168300,13210700,19059900,"-"
"ACACB","O00763","1",NA,NA,46637.9,NA,NA,63521,NA,NA,31254.3,52801.9,44140.2,79559.7,NA,31952.1,36681.1,NA,NA,NA,NA,66287.6,NA,NA,50460.2,32455.3,NA,71097.4,NA,NA,NA,39018.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,53839.8,NA,NA,NA,NA,NA,NA,45211.4,NA,NA,NA,58100.8,NA,NA,NA,NA,NA,56509.6,30844.5,NA,NA,NA,NA,32677.9,45515.9,"-"
"ACAD8","Q9UKU7","10",1367890,2520790,2398340,3678370,1622020,2356120,1303340,2399110,2211700,2185910,2879030,1710780,1950500,2359230,2416810,2513350,2176940,2667040,3491560,3287020,2391780,1837950,2151960,2564480,2269270,2673800,1494920,2089070,1803490,1436530,NA,NA,2067450,1111170,NA,NA,1020870,2270270,1835950,1673340,1167860,1347660,1908850,NA,1458820,NA,2069800,1137960,NA,806152,NA,1378020,820229,1328270,1201880,1765060,1496640,1077140,NA,1335020,NA,1798270,1861730,1505850,"-"
"ACAD9","Q9H845","6",277712,239561,322940,465816,187382,436457,NA,173392,NA,354885,358628,299535,215818,NA,362119,133687,341512,212274,362584,489924,NA,259737,285349,295794,220245,410777,233539,203419,227442,162317,192470,NA,348870,249834,309070,256874,230949,340185,199681,189463,204078,NA,245604,NA,284661,178113,209490,201935,NA,149049,346109,NA,238620,180471,NA,261783,167351,191534,186835,223579,243747,336899,NA,256792,"-"
"ACADM","P11310","21",22810100,27020100,28943300,50604700,25760700,39231900,17764400,22991300,28315300,35097500,34482400,33397300,19147600,26187500,24355900,20634600,23122800,28734600,36073900,45132000,27077600,23073200,29182400,20707100,30250900,45208300,22342200,26944300,25419200,23383400,19806600,10212200,22321700,20776000,30472200,25462400,23921400,29066600,15419900,23608100,10619500,28298700,18097100,13791700,22849300,10408500,17447900,15621000,12342200,17070900,37646100,33012700,27971600,18566300,24519400,18262200,21613600,14322600,22046000,23832500,14376900,21946500,11858800,12793600,"-"
"ACADS","P16219","19",22645900,38869200,48080000,38146900,23558900,33880000,19737800,22406600,42606900,27681300,45809900,43862700,27520700,40039600,29884700,35520100,22154400,41671600,51474500,33514000,19234400,13682900,30285400,20441000,40424700,28033100,22196000,24660300,11815000,9349620,38311400,20749300,26704600,26067100,53275100,21922800,24101200,37007400,24816100,8554150,13499200,19832300,26783300,30650300,31759600,15046200,36263400,33555800,23888900,12049000,22397900,35234800,21555700,21479800,29586900,28088900,8830950,12281000,15475800,26137500,29078600,25858500,11785300,20005800,"-"
"ACADSB","P45954","10",7163000,6350070,7214250,9994680,4276230,7072000,3255960,6512840,5067060,7039660,6766030,5774070,2231330,6346250,7819710,5014920,6819630,6197500,8493620,8453820,4080630,3876950,6076160,5531620,5612370,6921260,2379020,5852870,4273230,3396610,3396850,2436000,5270240,5455700,9740320,2908610,3881430,4212450,6002310,5747410,3090660,5760240,5607110,NA,6788810,2133170,6113390,2997220,2856500,3364270,6890220,8071550,3884200,3710960,3347190,5252030,4866420,3746830,5269230,6151470,NA,6169970,2828530,3716700,"-"
"ACADVL","P49748","35",56201700,62507800,59331100,113808000,57061100,103403000,38987400,56946200,57791000,59998200,67938800,66574100,45827600,69413000,54169900,67209000,47802200,76900100,69731400,103365000,54901500,41661400,58229400,53154100,53363800,71186500,48979900,44771300,52954900,45820800,65315400,43804900,66885400,50202400,89492800,75401300,58329300,78570500,58468700,58463200,34757200,56707300,50629200,54577700,55698900,37924100,74412100,49991900,47975700,38460700,63076500,67529000,73003600,55342200,52796100,60728900,57222700,37632000,49365500,48602000,47561200,34600300,40970000,43208500,"-"
"ACAT1","P24752","21",90462000,95605400,81837500,139851000,91870700,142524000,42309200,88421900,91676900,106658000,109101000,129003000,68280800,100144000,98916700,122358000,65982000,117349000,80975700,127611000,82666900,72042700,83029900,81653700,100801000,112474000,73556900,76176300,79573400,67533900,89665000,81701700,84769700,63799600,141055000,63931000,80291200,72005300,94087200,69984200,66181700,86503500,80055900,79339000,63178700,71542500,91688700,74076600,82888600,37581100,76966100,70183900,65489100,50682500,67212700,108022000,65438400,71950500,56246200,70473200,77704200,47615600,86039100,55759600,"-"
"ACAT2","Q9BWD1","2",NA,NA,27875.3,NA,NA,NA,NA,NA,NA,53075.6,39088.6,39944.9,68678.4,NA,51689.8,NA,NA,NA,NA,44448.2,NA,63317.8,NA,42234,NA,69755.2,NA,130960,NA,84318.5,64019.2,NA,NA,64751.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53981.5,NA,52984.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-"
"ACO1","P21399","24",3883280,3954370,3667610,5655500,3335270,4754790,2730970,2545180,3232100,3784110,3614530,4767560,3426570,2735680,2839980,3757850,3439990,4655310,3410230,5457880,3037470,3682750,3258270,2435380,3182350,3182410,2902230,2229990,3992920,3288500,3740650,3503880,3103730,2752900,2631580,2888230,2329540,2824460,3722460,3276960,3297770,3527420,3391360,3493810,4913820,3201080,3641200,3572510,3474600,2337070,3810010,4059970,2866840,2700620,3019440,3516300,3544380,3175150,3534250,3630720,4126550,3613570,3104990,2375940,"-"
"ACO2","Q99798","45",131154000,140985000,148749000,229578000,152188000,199021000,88051900,112554000,131217000,136118000,161731000,182566000,92142300,153245000,128412000,205368000,117278000,173535000,160568000,193647000,141709000,120854000,150692000,120226000,145918000,171446000,114921000,96502300,128152000,119209000,143206000,122588000,123268000,118170000,226553000,130977000,150592000,157570000,148343000,129536000,96301500,168186000,115733000,133146000,134923000,102778000,112282000,151229000,133266000,102233000,143075000,136712000,150422000,104038000,119593000,165673000,113541000,114230000,125587000,115736000,123749000,105419000,117792000,73049900,"-"
"ACOT1","Q86TX2","1",NA,146733,139480,173270,152120,211687,75044.9,NA,159371,91401.5,155154,124970,234797,100877,114753,131698,138146,NA,168417,148091,243444,NA,157088,84059.5,184511,59356.2,238170,153714,115936,134982,NA,174154,79316.4,220694,NA,NA,NA,NA,NA,NA,96539.6,NA,113173,74273.8,129446,263086,231166,69304,148980,67571.5,NA,NA,NA,NA,256209,79255.2,61473.9,66530.2,65696.5,105243,189343,50718.5,148977,77934.4,"-"
"ACOT13","Q9NPJ3","5",6268510,5382110,5263080,10389900,5929070,8648520,4339600,6435990,6014290,5636390,7346850,7228240,3891210,6035800,6869840,8190670,6223680,5636570,5613240,9441110,7598530,6136320,7249190,6684920,6761460,6941830,4926410,6562080,5945180,6923480,7630400,5825530,6237010,6456100,NA,6143560,2568320,6250480,5657570,6866470,5302970,8617010,5324060,6162540,5902870,6519520,7991540,7872690,6011670,4495140,7224670,3006380,5850780,4154940,7466580,6194190,6671910,7179450,5493830,6304140,6887760,5638820,8523770,4504510,"-"
"ACOT2","P49753","22",25029300,16769300,15243900,40651700,24010300,30724000,13792400,27292800,20381100,16507800,28298000,29285300,18703100,15415000,18721000,19881000,20757900,22329400,17405700,33365900,19420200,15636100,21733000,22937100,20414600,19798700,21714500,16268300,15919200,14686100,25043300,14582600,23144100,15584600,14059900,13439700,23435800,40062500,17915000,23497100,10472800,19515900,18935800,19328600,17815300,16439900,27287900,20706200,15952600,12267800,19919000,17490100,12229500,21330600,26376000,18751800,21767700,12938800,15244100,17237200,16995100,13643300,20125000,16136700,"-"
"ACOT9","Q9Y305","13",2402900,3039640,2851170,4852720,3020360,4314200,2783800,2768890,3396340,3040940,4130880,3129360,2808370,4001450,3751890,5596580,2263830,4389830,3344640,4713300,4139300,3896890,4089450,4428290,3581720,4212790,3679490,1867800,3031240,3538490,2499030,2009210,3805790,2302420,3545260,2002640,2534470,2659890,2657040,3748140,2868500,2442410,3404680,2826420,4138680,2027660,2419730,2481490,2658270,2824160,3468780,3665520,2951050,3693490,2334160,3037730,2505010,3214750,2809140,3572720,3463320,3315450,2736340,2121880,"-"
"ACP1","P24666","5",6834370,4585960,6086780,6200320,6147470,5991470,7442740,8936360,7419270,7640800,5467220,5233220,5493890,5837180,5797430,4323830,5717770,4176170,7951240,6117270,5127060,5786800,7592940,6454850,6510210,7694070,5392570,8521620,7788830,6103080,9484840,8050500,5786160,6791350,6761350,6716380,7193520,10449000,8075900,3827470,6118310,10427600,7432790,6413110,6925800,7802090,6901780,5889750,5877650,4418800,4751260,4367390,5851300,5068180,7416640,6258220,4921510,4492700,7038260,5266900,5285870,5033450,7622390,5490470,"-"
"ACSF2","Q96CM8","12",1172430,1134360,1534430,2200500,1148250,2016680,572442,1155500,1081270,1544450,1681670,1781890,1037500,1828870,1573420,1918400,1384110,1142380,1785900,1620920,1139280,833475,1127490,780183,907597,1902510,1130880,1313780,1395910,1022370,1322850,791246,1586090,1170200,1112200,767914,639560,848581,1034260,1028840,635950,1260060,1015930,923572,1311970,1191720,1245200,1398760,870913,738516,1075760,860607,667147,899954,715985,971449,949534,687445,849104,957636,1130220,735966,1079790,528087,"-"
"ACSF3","Q4G176","5",NA,NA,NA,485336,NA,280635,NA,NA,151472,NA,NA,NA,NA,NA,NA,258279,NA,337819,NA,190448,NA,246760,NA,NA,289388,238196,NA,NA,NA,147381,NA,NA,144179,NA,NA,NA,NA,NA,243863,NA,NA,NA,NA,NA,NA,NA,138009,266168,NA,NA,125203,NA,NA,NA,NA,276748,NA,186588,216841,257875,NA,NA,160478,175983,"-"
"ACSL1","P33121","31",31133600,33208100,31005200,75830500,35645500,63528100,21149600,29595600,35693800,34350700,33977500,35080000,26879700,36291900,32341100,50540800,28591900,47409300,35561100,51114300,39178700,30345800,36974000,34094700,39653100,42641300,31402900,17817400,30204900,29572400,38954600,28141400,35804200,24154400,50468800,41489200,34600500,48229700,32318600,35087900,25147500,33367600,30906300,35406200,34040200,25939800,32919100,37376000,33604200,25542500,29410800,36582600,52099600,41747400,28258300,36577100,29032800,30222200,26655500,29559500,33832900,21697500,31560800,23625400,"-"
"ACSL3","O95573","18",4446990,4403810,4656570,4556010,6600410,4138470,6286890,3319700,5344040,4360190,4517470,3379000,4562480,4811280,4325400,5987650,4367990,6085110,5202250,3565850,5535640,4514200,5163670,4865830,4395700,4700430,4921900,3777900,3640060,4333840,4314170,3724460,7954230,4633670,6957270,4670490,5233820,6203620,4155140,6988540,5473870,3500370,5655460,3046930,5424940,4841580,4766430,5703230,6356380,6107560,5945790,5476160,8971710,7696180,4168490,4370650,5790100,5450170,5695510,6405040,4319640,5059680,5594870,6506060,"-"
"ACSM1","Q08AH1","1",3539110,6793210,4212810,8585150,9896660,15393600,6131800,8119670,7602690,5034100,5672030,4239830,3965360,10352300,4548620,9684950,2997170,9471460,5379710,7987840,9983350,7193050,9739810,10499700,4887900,6991820,6497740,4595710,4768960,4935880,7653940,5782330,4813660,5158740,19085700,6539130,6674680,9538380,7475420,3554830,4352260,6090570,5899180,7517650,5297490,3924900,5509520,3835410,6447510,2536650,7620450,5891730,8432740,5707340,5280990,7834850,5692930,3201800,3850860,4163400,5684690,3812650,4453280,4252970,"-"
"ACSS1","Q9NUB1","6",255655,256479,152401,293911,183938,286316,158754,306393,226445,257941,205057,299065,163297,267394,277156,266442,189921,352101,163768,NA,271000,268018,239192,310300,373604,242221,NA,NA,175524,173621,251174,NA,160077,NA,NA,NA,NA,NA,NA,218153,178955,NA,212172,NA,NA,NA,NA,154373,NA,NA,162438,NA,NA,NA,NA,NA,NA,259042,NA,261557,NA,NA,NA,NA,"-"
"ACSS2","Q9NR19","6",204272,281550,218320,284806,292266,296309,149752,129127,262472,264037,224858,231788,218183,304409,287204,325143,204067,232308,183453,205631,269917,196163,208299,154417,267020,291688,237209,213851,252854,252253,NA,NA,226654,175093,NA,NA,162495,208595,172596,181998,163053,185838,185090,199943,245143,226806,130205,191952,NA,188190,197695,NA,95652.4,134498,NA,187319,157803,130093,150494,149727,166617,168841,158047,120513,"-"
"ACTA1","P68133","19",9595490000,1560210000,2181040000,3595290000,1205300000,1866550000,1303430000,7722160000,2457530000,1774160000,1455350000,432964000,6527540000,2276580000,1203200000,2754250000,2361240000,4745670000,2.942e+09,3117280000,2465880000,4056280000,3732020000,1800090000,1250550000,1669820000,7460080000,2534690000,4738790000,2243430000,4955990000,10339700000,1603170000,4235780000,16738500000,2660690000,3477440000,1673930000,4997140000,5623890000,3487770000,8217710000,2969760000,3117860000,5607210000,7066110000,3015570000,595360000,5194510000,619947000,3389350000,7902190000,2120300000,1618900000,11915200000,4813250000,2620680000,1118820000,3044520000,1530250000,5453240000,2814970000,5870720000,1355240000,"-"
